time,planet,x,y,z
0,0,0.0,0.0,0.0
0,1,-3.5023653,-3.8169847,-1.5507963
1,0,-0.08110529753501165,-0.08839103099270859,-0.03591224345664205
1,1,101.79962530697006,73.910716880172,29.20109225087318
2,0,-0.16203789696895696,-0.17665662604339916,-0.07177492724555223
2,1,206.92073861323314,151.50704171408125,59.90107392571285
3,0,-0.24292910086028496,-0.2648918997457632,-0.10762562255013547
3,1,311.99849583182834,229.0716091424068,90.58849932650412
4,0,-0.3238021546771026,-0.35311384249890176,-0.1434710458398796
4,1,417.05724336551793,306.6222142509565,121.27040302319155
5,0,-0.404665066859338,-0.441328326284661,-0.1793135189833312
5,1,522.1053689440346,384.16500712603465,151.94921685094127
6,0,-0.48552151395922627,-0.5295380512878742,-0.21515410982134905
6,1,627.146723245759,461.70281583663007,182.6260592249005
7,0,-0.5663734831003421,-0.6177444784085436,-0.2509933961447853
7,1,732.1833875069419,539.2371704728095,213.30153530082399
8,0,-0.6472221683809198,-0.7059484861381113,-0.28683172542018254
8,1,837.2166123798146,616.7689911324765,243.97600900170767
9,0,-0.7280683429115075,-0.7941506435369515,-0.3226693227354454
9,1,942.2472075904144,694.2988738274216,274.6497160759028
10,0,-0.8089125357484781,-0.8823513401748948,-0.358506342187179
10,1,1047.2757272518909,771.8272265779934,305.3228179182239
11,0,-0.8897551247718869,-0.9705508543872463,-0.39434289387530375
11,1,1152.3025671411747,849.3543409018077,335.99542984306237
12,0,-0.9705963892430886,-1.058749391919741,-0.43017905918744653
12,1,1257.32801974579,926.8804322889769,366.66763709266553
13,0,-1.0514365413591553,-1.1469471091398709,-0.46601489997953055
13,1,1362.3523073127299,1004.4056645127539,397.3395044525311
14,0,-1.132275746126704,-1.2351441276610415,-0.5018504643601179
14,1,1467.3756026635322,1081.9301649463089,428.0110823097034
15,0,-1.2131141343842848,-1.323340543927853,-0.5376857904817992
15,1,1572.3980428334262,1159.4540346019794,458.68241062372755
16,0,-1.2939518116240591,-1.4115364357109763,-0.5735209091102479
16,1,1677.4197383108144,1236.9773549337535,489.35352161737825
17,0,-1.3747888641398334,-1.499731866634534,-0.6093558454150618
17,1,1782.4407794764868,1314.5001925790725,520.0244416523171
18,0,-1.455625363418029,-1.5879268894101732,-0.6451906202490452
18,1,1887.461241202552,1392.0226027460733,550.6951925689634
19,0,-1.5364613693414626,-1.6761215481971141,-0.6810252510817713
19,1,1992.481186207952,1469.5446316854125,581.3657926642716
20,0,-1.6172969325712798,-1.7643158803570382,-0.71685975269377
20,1,2097.5006675532086,1547.0663185282679,612.0362574187959
21,0,-1.6981320963476398,-1.8525099177809057,-0.7526941377013877
21,1,2202.5197305263887,1624.5876966759956,642.7066000464088
22,0,-1.7789668978714104,-1.9407036879071584,-0.7885284169595694
22,1,2307.53841409024,1702.108794866557,673.3768319161592
23,0,-1.8598013693786426,-2.028897214513607,-0.8243625998751175
23,1,2412.556752007554,1779.6296380039093,704.0469628803675
24,0,-1.940635538986299,-2.117090518340786,-0.8601966946532836
24,1,2517.5747737269485,1857.1502478108853,734.7170015328962
25,0,-2.021469431365278,-2.205283617588059,-0.8960307084940229
25,1,2622.5925050877654,1934.670643348793,765.3869554146997
26,0,-2.102303068281388,-2.293476528312416,-0.9318646477497559
26,1,2727.6099688866707,2012.190841435102,796.0568311790571
27,0,-2.1831364690341912,-2.3816692647520017,-0.9676985180533549
27,1,2832.627185337277,2089.710856982293,826.7266347256206
28,0,-2.2639696508159997,-2.4698618395907994,-1.0035323244228522
28,1,2937.644172446146,2167.2307032750796,857.3963713100827
29,0,-2.3448026290078556,-2.5580542641768633,-1.0393660713477726
29,1,3042.660946322786,2244.7503921989737,888.0660456345979
